tipolista,dataimportazione,dataaggiornamento,nomefile,lunghezzafile,errore,md5file,aggiornamenti,numerosoggetti
au,2026-01-01 06:00:03.29+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-01 06:00:32.293+00,2025-12-30 23:00:00+00,ofac_sdn.xml,27816825,f,,N,-1
ch,2026-01-01 06:00:47.874+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-01 06:01:17.368+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-01 06:01:20.032+00,2025-12-31 23:00:07.423+00,onu.xml,2025693,f,,N,-1
eu,2026-01-01 06:01:22.672+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-01 06:01:29.874+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-01 06:01:34.017+00,2026-01-01 06:01:37.686+00,ca.xml,1672024,f,,N,-1
au,2026-01-01 20:00:03.647+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-01 20:00:18.639+00,2025-12-30 23:00:00+00,ofac_sdn.xml,27816825,f,,N,-1
ch,2026-01-01 20:00:32.904+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-01 20:00:53.459+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-01 20:00:56.006+00,2025-12-31 23:00:07.423+00,onu.xml,2025693,f,,N,-1
eu,2026-01-01 20:00:59.538+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-01 20:01:09.181+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-01 20:01:15.268+00,2026-01-01 20:01:18.893+00,ca.xml,1672024,f,,N,-1
au,2026-01-02 06:00:06.617+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-02 06:00:24.037+00,2025-12-30 23:00:00+00,ofac_sdn.xml,27816825,f,,N,-1
ch,2026-01-02 06:00:49.524+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-02 06:01:03.585+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-02 06:01:06.433+00,2026-01-01 23:00:07.409+00,onu.xml,2025693,f,,N,-1
eu,2026-01-02 06:01:10.236+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-02 06:01:25.027+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-02 06:01:28.881+00,2026-01-02 06:01:32.507+00,ca.xml,1672024,f,,N,-1
au,2026-01-02 20:00:08.606+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-02 20:00:28.751+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-02 20:00:49.203+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-02 20:01:04.278+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-02 20:01:07.058+00,2026-01-01 23:00:07.409+00,onu.xml,2025693,f,,N,-1
eu,2026-01-02 20:01:09.783+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-02 20:01:20.139+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-02 20:01:24.842+00,2026-01-02 20:01:28.584+00,ca.xml,1672024,f,,N,-1
au,2026-01-03 20:00:02.711+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-03 20:00:21.991+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-03 20:00:36.565+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-03 20:00:52.04+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-03 20:00:54.453+00,2026-01-02 23:00:09.473+00,onu.xml,2025693,f,,N,-1
eu,2026-01-03 20:00:57.084+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-03 20:01:04.492+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-03 20:01:08.34+00,2026-01-03 20:01:13.228+00,ca.xml,1672024,f,,N,-1
au,2026-01-04 06:00:03.319+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-04 06:00:24.161+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-04 06:00:40.124+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-04 06:01:09.282+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-04 06:01:11.822+00,2026-01-03 23:00:11.87+00,onu.xml,2025693,f,,N,-1
eu,2026-01-04 06:01:14.309+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-04 06:01:21.906+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-04 06:01:25.703+00,2026-01-04 06:01:29.342+00,ca.xml,1672024,f,,N,-1
au,2026-01-05 06:00:06.652+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-05 06:00:24.454+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-05 06:00:39.124+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-05 06:01:04.193+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-05 06:01:06.82+00,2026-01-03 23:00:11.87+00,onu.xml,2025693,f,,N,-1
eu,2026-01-05 06:01:09.284+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-05 06:01:18.28+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-05 06:01:22.265+00,2026-01-05 06:01:26.025+00,ca.xml,1672024,f,,N,-1
au,2026-01-05 20:00:00.814+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-05 20:00:22.972+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-05 20:00:46.646+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-05 20:00:59.049+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-05 20:01:01.725+00,2026-01-03 23:00:11.87+00,onu.xml,2025693,f,,N,-1
eu,2026-01-05 20:01:04.408+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-05 20:01:14.003+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-05 20:01:19.884+00,2026-01-05 20:01:23.666+00,ca.xml,1672024,f,,N,-1
au,2026-01-06 06:00:06.533+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-06 06:00:34.359+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-06 06:00:48.433+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-06 06:01:18.858+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-06 06:01:21.486+00,2026-01-05 23:00:09.202+00,onu.xml,2025693,f,,N,-1
eu,2026-01-06 06:01:23.965+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-06 06:01:33.458+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-06 06:01:37.381+00,2026-01-06 06:01:41.097+00,ca.xml,1672024,f,,N,-1
au,2026-01-06 20:00:08.763+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-06 20:00:26.083+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-06 20:00:41.03+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-06 20:00:56.82+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-06 20:00:59.454+00,2026-01-05 23:00:09.202+00,onu.xml,2025693,f,,N,-1
eu,2026-01-06 20:01:01.88+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-06 20:01:09.108+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-06 20:01:13.112+00,2026-01-06 20:01:16.847+00,ca.xml,1672024,f,,N,-1
au,2026-01-07 06:00:06.05+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-07 06:00:20.404+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-07 06:00:35.396+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-07 06:01:04.767+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-07 06:01:07.344+00,2026-01-06 23:00:09.162+00,onu.xml,2025693,f,,N,-1
eu,2026-01-07 06:01:10.981+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-07 06:01:19.237+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-07 06:01:23.28+00,2026-01-07 06:01:26.927+00,ca.xml,1672024,f,,N,-1
au,2026-01-07 15:18:29.884+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-07 15:18:46.98+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-07 15:19:00.956+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-07 15:19:10.328+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-07 15:19:12.779+00,2026-01-06 23:00:09.162+00,onu.xml,2025693,f,,N,-1
eu,2026-01-07 15:19:15.333+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-07 15:19:24.141+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-07 15:19:28.096+00,2026-01-07 15:19:31.865+00,ca.xml,1672024,f,,N,-1
au,2026-01-07 15:21:13.053+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-07 15:21:29.678+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-07 15:21:44.974+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-07 15:21:58.056+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-07 15:22:00.571+00,2026-01-06 23:00:09.162+00,onu.xml,2025693,f,,N,-1
eu,2026-01-07 15:22:02.99+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-07 15:22:13.355+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-07 15:22:17.025+00,2026-01-07 15:22:20.343+00,ca.xml,1672024,f,,N,-1
us,2026-01-07 15:22:22.906+00,2026-01-07 15:22:22.906+00,cuba.xml,262316,f,,N,-1
au,2026-01-07 20:00:09.168+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-07 20:00:27.294+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-07 20:01:21.942+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-07 20:01:33.463+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-07 20:01:36.35+00,2026-01-06 23:00:09.162+00,onu.xml,2025693,f,,N,-1
eu,2026-01-07 20:01:38.836+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-07 20:01:47.257+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-07 20:01:51.152+00,2026-01-07 20:01:54.886+00,ca.xml,1672024,f,,N,-1
us,2026-01-07 20:01:57.329+00,2026-01-07 20:01:57.33+00,cuba.xml,262316,f,,N,-1
au,2026-01-08 06:00:08.42+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-08 06:00:32.656+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-08 06:00:46.337+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-08 06:01:17.713+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-08 06:01:20.58+00,2026-01-07 23:00:07.786+00,onu.xml,2025693,f,,N,-1
eu,2026-01-08 06:01:26.736+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-08 06:01:36.308+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-08 06:01:40.161+00,2026-01-08 06:01:43.914+00,ca.xml,1672024,f,,N,-1
us,2026-01-08 06:01:46.322+00,2026-01-08 06:01:46.323+00,cuba.xml,262316,f,,N,-1
au,2026-01-08 20:00:03.425+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-08 20:00:19.088+00,2026-01-07 23:00:00+00,ofac_sdn.xml,27814473,f,,N,-1
ch,2026-01-08 20:00:37.356+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-08 20:00:51.769+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-08 20:00:54.473+00,2026-01-07 23:00:07.786+00,onu.xml,2025693,f,,N,-1
eu,2026-01-08 20:00:57.472+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-08 20:01:06.818+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-08 20:01:11.06+00,2026-01-08 20:01:14.902+00,ca.xml,1672024,f,,N,-1
us,2026-01-08 20:01:17.425+00,2026-01-08 20:01:17.426+00,cuba.xml,262316,f,,N,-1
au,2026-01-09 06:00:05.338+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-09 06:00:20.766+00,2026-01-07 23:00:00+00,ofac_sdn.xml,27814473,f,,N,-1
ch,2026-01-09 06:00:35.604+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-09 06:00:56.692+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-09 06:00:59.274+00,2026-01-08 23:00:09.869+00,onu.xml,2025693,f,,N,-1
eu,2026-01-09 06:01:01.84+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-09 06:01:12.486+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-09 06:01:17.135+00,2026-01-09 06:01:21.155+00,ca.xml,1672024,f,,N,-1
us,2026-01-09 06:01:23.762+00,2026-01-09 06:01:23.763+00,cuba.xml,262316,f,,N,-1
au,2026-01-09 20:00:07.637+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-09 20:00:28.365+00,2026-01-07 23:00:00+00,ofac_sdn.xml,27814473,f,,N,-1
ch,2026-01-09 20:00:46.51+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-09 20:00:56.731+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-09 20:00:59.092+00,2026-01-08 23:00:09.869+00,onu.xml,2025693,f,,N,-1
eu,2026-01-09 20:01:01.707+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-09 20:01:10.43+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-09 20:01:15.337+00,2026-01-09 20:01:19.27+00,ca.xml,1672024,f,,N,-1
au,2026-01-10 06:00:08.773+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-10 06:00:27.246+00,2026-01-07 23:00:00+00,ofac_sdn.xml,27814473,f,,N,-1
ch,2026-01-10 06:00:42.848+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-10 06:01:05.178+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-10 06:01:07.772+00,2026-01-09 23:00:08.687+00,onu.xml,2025693,f,,N,-1
eu,2026-01-10 06:01:10.347+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-10 06:01:24.937+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-10 06:01:29.141+00,2026-01-10 06:01:33.061+00,ca.xml,1672024,f,,N,-1
au,2026-01-10 20:00:04.052+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-10 20:00:25.119+00,2026-01-07 23:00:00+00,ofac_sdn.xml,27814473,f,,N,-1
ch,2026-01-10 20:00:39.427+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-10 20:00:48.686+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-10 20:00:50.967+00,2026-01-09 23:00:08.687+00,onu.xml,2025693,f,,N,-1
eu,2026-01-10 20:00:53.444+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-10 20:01:02.927+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-10 20:01:07.054+00,2026-01-10 20:01:10.827+00,ca.xml,1672024,f,,N,-1
au,2026-01-11 06:00:08.97+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-11 06:00:27.528+00,2026-01-07 23:00:00+00,ofac_sdn.xml,27814473,f,,N,-1
ch,2026-01-11 06:00:47.339+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-11 06:01:20.657+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-11 06:01:23.174+00,2026-01-10 23:00:03.051+00,onu.xml,2025693,f,,N,-1
eu,2026-01-11 06:01:25.556+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-11 06:01:32.856+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-11 06:01:37.93+00,2026-01-11 06:01:41.696+00,ca.xml,1672024,f,,N,-1
au,2026-01-11 20:00:06.524+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-11 20:00:21.56+00,2026-01-07 23:00:00+00,ofac_sdn.xml,27814473,f,,N,-1
ch,2026-01-11 20:00:36.467+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-11 20:00:49.264+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-11 20:00:51.783+00,2026-01-10 23:00:03.051+00,onu.xml,2025693,f,,N,-1
eu,2026-01-11 20:00:54.386+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-11 20:01:03.839+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-11 20:01:08.965+00,2026-01-11 20:01:12.751+00,ca.xml,1672024,f,,N,-1
au,2026-01-12 06:00:10.02+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-12 06:00:37.738+00,2026-01-07 23:00:00+00,ofac_sdn.xml,27814473,f,,N,-1
ch,2026-01-12 06:00:52.792+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-12 06:01:23.076+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-12 06:01:25.584+00,2026-01-12 02:57:02.911+00,onu.xml,2025693,f,,N,-1
eu,2026-01-12 06:01:28.216+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-12 06:01:35.841+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-12 06:01:39.931+00,2026-01-12 06:01:43.632+00,ca.xml,1672024,f,,N,-1
au,2026-01-13 06:00:09.841+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-13 06:00:27.596+00,2026-01-07 23:00:00+00,ofac_sdn.xml,27814473,f,,N,-1
ch,2026-01-13 06:00:42.326+00,2026-01-12 23:00:00+00,ch.xml,36700178,f,,N,-1
nsdn,2026-01-13 06:01:02.728+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-13 06:01:05.536+00,2026-01-12 23:00:03.871+00,onu.xml,2025693,f,,N,-1
eu,2026-01-13 06:01:09.237+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-13 06:01:17.893+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-13 06:01:24.574+00,2026-01-13 06:01:28.302+00,ca.xml,1672024,f,,N,-1
us,2026-01-13 06:01:30.883+00,2026-01-13 06:01:30.884+00,cuba.xml,262316,f,,N,-1
au,2026-01-13 20:00:03.422+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-13 20:00:20.829+00,2026-01-12 23:00:00+00,ofac_sdn.xml,27822106,f,,N,-1
ch,2026-01-13 20:00:37.714+00,2026-01-12 23:00:00+00,ch.xml,36709182,f,,N,-1
nsdn,2026-01-13 20:00:47.042+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-13 20:00:49.38+00,2026-01-12 23:00:03.871+00,onu.xml,2025693,f,,N,-1
eu,2026-01-13 20:00:51.986+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-13 20:00:59.947+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-13 20:01:04.426+00,2026-01-13 20:01:08.331+00,ca.xml,1672024,f,,N,-1
us,2026-01-13 20:01:11.035+00,2026-01-13 20:01:11.036+00,cuba.xml,262316,f,,N,-1
au,2026-01-14 06:00:04.081+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-14 06:00:18.025+00,2026-01-12 23:00:00+00,ofac_sdn.xml,27822106,f,,N,-1
ch,2026-01-14 06:00:31.602+00,2026-01-12 23:00:00+00,ch.xml,36709182,f,,N,-1
nsdn,2026-01-14 06:01:03.814+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-14 06:01:06.458+00,2026-01-13 23:00:05.196+00,onu.xml,2025693,f,,N,-1
eu,2026-01-14 06:01:09.108+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-14 06:01:16.104+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-14 06:01:20.349+00,2026-01-14 06:01:24.128+00,ca.xml,1672024,f,,N,-1
us,2026-01-14 06:01:26.529+00,2026-01-14 06:01:26.53+00,cuba.xml,262316,f,,N,-1
au,2026-01-14 20:00:09.893+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-14 20:00:29.174+00,2026-01-12 23:00:00+00,ofac_sdn.xml,27822106,f,,N,-1
ch,2026-01-14 20:02:43.565+00,2026-01-12 23:00:00+00,ch.xml,36709182,f,,N,-1
nsdn,2026-01-14 20:02:53.87+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-14 20:02:56.645+00,2026-01-13 23:00:05.196+00,onu.xml,2025693,f,,N,-1
eu,2026-01-14 20:02:59.014+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-14 20:03:06.418+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-14 20:03:10.854+00,2026-01-14 20:03:14.584+00,ca.xml,1672024,f,,N,-1
us,2026-01-14 20:03:16.961+00,2026-01-14 20:03:16.961+00,cuba.xml,262316,f,,N,-1
au,2026-01-15 06:00:03.398+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-15 06:00:17.754+00,2026-01-12 23:00:00+00,ofac_sdn.xml,27822106,f,,N,-1
ch,2026-01-15 06:00:32.171+00,2026-01-12 23:00:00+00,ch.xml,36709182,f,,N,-1
nsdn,2026-01-15 06:01:02.904+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-15 06:01:05.494+00,2026-01-14 23:00:08.04+00,onu.xml,2025693,f,,N,-1
eu,2026-01-15 06:01:08.01+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-15 06:01:16.992+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-15 06:01:21.077+00,2026-01-15 06:01:25.024+00,ca.xml,1672024,f,,N,-1
us,2026-01-15 06:01:27.485+00,2026-01-15 06:01:27.487+00,cuba.xml,262316,f,,N,-1
au,2026-01-15 20:00:07.314+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-15 20:00:26.695+00,2026-01-14 23:00:00+00,ofac_sdn.xml,27855297,f,,N,-1
ch,2026-01-15 20:00:42.531+00,2026-01-12 23:00:00+00,ch.xml,36709182,f,,N,-1
nsdn,2026-01-15 20:00:56.874+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-15 20:00:59.413+00,2026-01-14 23:00:08.04+00,onu.xml,2025693,f,,N,-1
eu,2026-01-15 20:01:01.98+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-15 20:01:09.375+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-15 20:01:13.539+00,2026-01-15 20:01:17.294+00,ca.xml,1672024,f,,N,-1
us,2026-01-15 20:01:20.364+00,2026-01-15 20:01:20.365+00,cuba.xml,262316,f,,N,-1
au,2026-01-16 06:00:09.632+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-16 06:00:26.52+00,2026-01-14 23:00:00+00,ofac_sdn.xml,27855297,f,,N,-1
ch,2026-01-16 06:00:40.961+00,2026-01-12 23:00:00+00,ch.xml,36709182,f,,N,-1
nsdn,2026-01-16 06:01:01.29+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-01-16 06:01:03.848+00,2026-01-15 23:00:09.156+00,onu.xml,2025693,f,,N,-1
eu,2026-01-16 06:01:06.321+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-16 06:01:15.51+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-16 06:01:19.868+00,2026-01-16 06:01:23.61+00,ca.xml,1672024,f,,N,-1
us,2026-01-16 06:01:26.3+00,2026-01-16 06:01:26.302+00,cuba.xml,262316,f,,N,-1
