tipolista,dataimportazione,dataaggiornamento,nomefile,lunghezzafile,errore,md5file,aggiornamenti,numerosoggetti
aq,2026-07-03 19:01:46.344+00,2026-07-02 21:00:02.007+00,onu.xml,2171560,f,,N,-1
eu,2026-07-03 19:01:50.497+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-03 19:02:10.648+00,2026-06-25 22:00:00+00,uk.xml,21491248,f,,N,-1
ca,2026-07-03 19:02:23.679+00,2026-07-03 19:02:28.34+00,ca.xml,1851227,f,,N,-1
us,2026-07-03 19:02:40.277+00,2026-07-03 19:02:40.277+00,cuba.xml,262316,f,,N,-1
au,2026-07-04 05:00:05.74+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-04 05:00:30.238+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-04 05:01:20.193+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
nsdn,2026-07-04 05:01:55.643+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-07-04 05:01:59.152+00,2026-07-03 21:00:04.445+00,onu.xml,2171560,f,,N,-1
eu,2026-07-04 05:02:04.182+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-04 05:02:25.739+00,2026-06-25 22:00:00+00,uk.xml,21491248,f,,N,-1
ca,2026-07-04 05:02:41.165+00,2026-07-04 05:02:45.641+00,ca.xml,1851227,f,,N,-1
us,2026-07-04 05:02:59.813+00,2026-07-04 05:02:59.814+00,cuba.xml,262316,f,,N,-1
au,2026-07-04 19:00:08.058+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-04 19:00:36.857+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-04 19:01:28.638+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
nsdn,2026-07-04 19:01:50.523+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
